5
1
-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	21	20	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	
10	-1	-1	-1	6	-1	20	-1	24	19	22	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	
7	-1	-1	-1	-1	-1	-1	8	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	23	-1	-1	-1	
-1	-1	-1	22	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	
-1	-1	-1	17	-1	-1	-1	-1	11	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	
-1	-1	-1	-1	-1	-1	-1	13	-1	22	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	24	
-1	-1	-1	-1	20	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	15	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	11	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	
-1	22	8	-1	-1	2	-1	-1	-1	-1	-1	20	5	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	1	
-1	-1	22	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	23	-1	-1	
20	18	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	6	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	15	-1	-1	5	-1	-1	19	-1	-1	14	-1	-1	-1	1	-1	-1	4	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	2	-1	-1	
3	15	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	10	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	20	-1	-1	-1	-1	
-1	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	2	-1	-1	-1	20	-1	-1	-1	-1	14	-1	-1	
-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	5	-1	-1	24	10	18	-1	-1	23	
-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	18	-1	-1	3	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	21	-1	-1	-1	-1	
