5
1
24	6	-1	11	16	25	18	22	13	14	17	21	10	15	1	2	7	19	5	20	12	-1	3	8	4	
20	15	25	7	4	11	3	12	19	5	6	9	22	13	14	23	16	8	21	10	2	17	18	1	24	
14	23	18	10	3	9	6	8	7	17	16	24	4	20	2	13	12	15	25	1	19	11	21	5	22	
17	13	22	1	19	24	23	2	21	15	12	18	3	5	8	9	11	6	14	-1	16	10	25	20	7	
21	5	8	12	2	20	10	4	1	16	23	25	19	11	7	17	3	22	18	24	-1	6	15	13	14	
5	7	10	9	14	17	16	19	12	13	20	23	2	4	25	-1	8	11	6	21	18	22	24	15	3	
22	20	17	-1	11	23	7	18	25	1	5	10	15	8	6	3	9	14	24	16	13	2	12	4	-1	
2	25	16	15	23	4	20	21	8	9	22	7	13	24	3	19	18	17	10	12	6	1	14	11	5	
13	12	6	4	18	5	11	3	15	24	-1	17	21	1	9	20	22	2	7	-1	25	8	19	10	16	
8	24	-1	21	1	10	2	6	14	22	11	19	16	12	18	15	25	13	4	5	17	9	23	7	20	
16	2	1	14	17	21	13	24	11	7	9	8	5	3	22	12	19	4	20	6	15	18	10	25	23	
9	4	23	25	12	1	5	15	18	6	10	16	17	2	19	8	21	24	-1	14	20	-1	13	22	11	
19	21	-1	18	5	12	22	10	20	3	24	13	23	25	4	16	2	7	17	11	8	14	9	6	1	
-1	10	11	24	8	16	17	23	9	25	7	15	12	14	20	5	13	-1	1	22	4	21	2	3	-1	
7	3	13	20	22	2	8	14	4	19	-1	6	-1	18	21	25	10	23	15	9	24	5	16	12	17	
11	18	4	2	10	8	12	-1	23	21	13	3	6	17	16	14	-1	9	22	25	1	20	7	19	15	
1	-1	20	8	15	3	25	17	6	4	2	14	18	7	10	11	5	12	16	13	21	24	22	23	9	
25	14	5	13	9	19	1	20	2	10	15	12	8	22	24	21	6	3	23	7	11	4	17	16	18	
23	16	7	3	24	15	9	13	22	18	21	20	1	19	11	4	17	10	2	8	5	12	6	-1	25	
12	22	21	17	6	7	14	16	24	11	25	4	9	23	5	18	20	1	19	15	3	13	8	2	10	
15	-1	19	22	-1	18	24	11	17	20	8	2	14	16	13	10	4	21	12	3	23	25	5	9	6	
4	17	14	5	-1	22	21	25	3	-1	19	1	7	6	15	24	23	20	9	2	10	16	11	18	8	
10	11	12	16	21	6	4	1	5	2	18	22	24	9	-1	7	15	25	8	19	14	3	20	17	13	
-1	8	2	-1	25	13	15	9	10	23	4	5	20	21	17	22	14	16	-1	18	7	19	1	24	12	
18	9	24	23	20	14	19	7	16	-1	3	11	25	10	12	6	1	5	13	17	22	15	4	21	2	
