5
1
25	9	20	3	12	1	14	6	19	15	8	18	5	17	22	2	11	4	21	7	13	16	10	24	23	
19	4	6	14	2	24	8	21	11	13	16	1	12	10	15	9	3	17	5	23	25	20	7	18	22	
10	17	8	23	11	22	12	16	20	4	2	19	7	9	13	24	18	25	14	6	1	15	21	5	3	
1	24	18	16	5	25	9	10	2	7	3	4	20	21	23	19	12	13	15	22	11	8	14	6	17	
15	13	7	21	22	17	5	23	3	18	14	6	25	11	24	16	10	1	20	8	19	2	4	9	12	
2	22	3	11	20	13	21	12	23	19	25	5	6	18	8	10	1	9	4	15	14	24	16	17	7	
8	25	24	15	9	11	7	3	14	22	23	20	16	12	10	21	17	19	18	5	6	1	2	13	4	
5	14	13	12	10	8	17	1	9	16	21	22	24	3	4	6	20	7	23	2	18	19	15	25	11	
4	23	17	6	7	15	20	24	18	10	19	11	2	13	1	12	25	14	16	3	5	22	9	21	8	
21	1	16	19	18	2	25	5	4	6	17	7	14	15	9	11	13	22	8	24	3	12	20	23	10	
6	21	4	13	1	3	19	9	12	25	20	24	8	22	5	23	14	10	17	18	16	7	11	15	2	
22	12	2	24	19	21	16	8	1	23	6	14	9	7	18	13	15	5	11	4	17	10	25	3	20	
3	15	5	8	16	4	2	20	6	17	10	12	11	23	25	22	7	24	9	19	21	18	13	14	1	
7	11	10	25	23	5	18	15	13	14	4	17	3	1	21	20	2	16	6	12	8	9	24	22	19	
9	20	14	18	17	7	11	22	10	24	13	2	15	16	19	25	8	21	3	1	12	23	5	4	6	
20	10	15	4	6	23	24	19	21	3	22	13	1	5	14	7	16	12	2	17	9	25	8	11	18	
23	3	22	2	24	20	10	4	25	9	7	16	21	8	17	5	6	18	1	11	15	14	12	19	13	
16	19	1	5	14	18	13	2	17	12	9	3	4	20	11	8	21	15	22	25	10	6	23	7	24	
11	8	21	17	13	14	6	7	15	1	18	23	10	25	12	4	19	20	24	9	22	5	3	2	16	
18	7	12	9	25	16	22	11	5	8	24	15	19	6	2	14	23	3	10	13	4	17	1	20	21	
17	6	23	1	15	12	3	13	24	21	5	25	22	4	20	18	9	8	7	16	2	11	19	10	14	
13	2	19	7	4	10	23	18	16	5	1	8	17	24	3	15	22	11	25	14	20	21	6	12	9	
12	5	11	22	8	9	1	14	7	20	15	10	13	2	6	17	4	23	19	21	24	3	18	16	25	
14	18	9	10	3	6	15	25	22	11	12	21	23	19	16	1	24	2	13	20	7	4	17	8	5	
24	16	25	20	21	19	4	17	8	2	11	9	18	14	7	3	5	6	12	10	23	13	22	1	15	
