4
1
-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	
11	3	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	12	8	-1	-1	-1	-1	7	-1	-1	-1	
-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	2	-1	-1	
-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	
-1	-1	13	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	-1	
-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	12	6	-1	3	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	2	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	7	-1	-1	
15	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	
-1	4	-1	-1	-1	-1	-1	11	15	-1	-1	-1	-1	-1	-1	-1	
16	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	
-1	-1	-1	7	8	-1	1	3	-1	-1	-1	-1	-1	12	-1	-1	
-1	1	-1	-1	-1	10	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	
